City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,nouadhibou,20.931,-17.0347,75.18,78,27,20.71,MR,1722884370
303,hammerfest,70.6634,23.6821,64.51,61,7,3.87,NO,1722884371
304,libertad,8.9442,125.5019,77.02,95,100,2.28,PH,1722884372
305,vilyuchinsk,52.9306,158.4028,53.87,83,100,0.45,RU,1722884373
306,katsuura,35.1333,140.3,76.17,92,0,6.38,JP,1722884374
307,waddan,29.1614,16.139,94.59,14,0,15.03,LY,1722884375
308,hemsby,52.6971,1.6918,75.43,76,100,9.35,GB,1722884376
309,al qusayr,34.5091,36.5798,78.6,55,0,7.05,SY,1722884377
310,miri,4.4148,114.0089,78.94,94,20,0.0,MY,1722884378
311,ingeniero guillermo n. juarez,-23.9,-61.85,90.37,34,92,12.06,AR,1722884379
312,sinop,41.7711,34.8709,63.23,96,75,2.13,TR,1722884381
313,kudymkar,59.0173,54.656,58.3,96,61,3.38,RU,1722884382
314,kabalo,-6.05,26.9167,81.21,21,5,3.94,CD,1722884383
315,talnakh,69.4865,88.3972,47.08,69,0,3.74,RU,1722884384
316,mahina,-17.5065,-149.489,78.57,61,40,3.44,PF,1722884387
317,visegrad,43.7847,19.2992,67.46,68,24,1.07,BA,1722884388
318,lashio,22.9333,97.75,67.57,100,93,0.78,MM,1722884389
319,nemuro,43.3236,145.575,61.81,100,100,2.24,JP,1722884390
320,mollendo,-17.0231,-72.0147,60.26,83,100,8.93,PE,1722884391
321,skeldon,5.8833,-57.1333,89.65,56,60,6.55,GY,1722884392
322,niamey,13.5137,2.1098,91.69,52,20,8.05,NE,1722884393
323,saynshand,44.8824,110.1163,74.89,33,8,7.05,MN,1722884395
324,dilling,12.05,29.65,73.27,83,100,11.63,SD,1722884397
325,tura,25.5198,90.2201,75.76,99,100,5.68,IN,1722884398
326,aranda de duero,41.6704,-3.6892,86.22,22,0,8.77,ES,1722884399
327,trofa,41.3065,-8.5764,79.47,76,17,11.36,PT,1722884400
328,vadso,70.0744,29.7487,56.28,87,0,11.5,NO,1722884401
329,ta`u,-14.2336,-169.5144,78.08,76,26,6.15,AS,1722884402
330,kodiak,57.79,-152.4072,53.11,100,100,13.8,US,1722884404
331,patterson,37.4716,-121.1297,87.98,20,0,5.53,US,1722884406
332,paita,-5.0892,-81.1144,70.75,66,0,17.05,PE,1722884407
333,kalemie,-5.9475,29.1947,71.87,44,1,1.25,CD,1722884408
334,yuzhno-kurilsk,44.0306,145.8556,61.03,99,100,5.77,RU,1722884409
335,tshabong,-26.05,22.45,49.89,30,0,6.6,BW,1722884410
336,san rafael,-34.6177,-68.3301,65.93,18,36,8.28,AR,1722884229
337,sucua,-2.4667,-78.1667,81.34,57,75,6.91,EC,1722884413
338,namibe,-15.1961,12.1522,64.44,87,100,3.53,AO,1722884414
339,puerto baquerizo moreno,-0.9,-89.6,72.59,88,75,11.5,EC,1722884415
340,raduzhnyy,62.0961,77.475,54.07,87,100,8.99,RU,1722884416
341,alaghsas,17.0187,8.0168,93.09,49,20,17.27,NE,1722884418
342,bel ombre,-4.6167,55.4167,78.64,89,40,11.5,SC,1722884419
343,usinsk,65.9939,57.5281,50.45,72,99,12.86,RU,1722884420
344,sao felix do xingu,-6.6447,-51.995,97.45,17,0,5.03,BR,1722884421
345,ha giang,22.8333,104.9833,75.61,98,100,1.74,VN,1722884422
346,warman,52.3168,-106.5679,67.91,60,100,13.8,CA,1722884423
347,kuhsan,34.6539,61.1978,88.54,16,0,20.11,AF,1722884424
348,midvagur,62.0511,-7.1939,52.63,93,75,8.05,FO,1722884425
349,yung shue wan,22.2333,114.1167,87.33,85,100,6.06,HK,1722884406
350,tobelo,1.7284,128.0095,79.52,84,100,1.61,ID,1722884428
351,al lagowa,11.4,29.1333,74.14,85,87,7.45,SD,1722884429
352,prince rupert,54.3161,-130.3201,59.09,94,0,4.61,CA,1722884430
353,argo,37.6333,22.7333,85.78,66,0,1.72,GR,1722884431
354,new plymouth,-39.0667,174.0833,47.8,84,74,2.75,NZ,1722884432
355,buka,40.8108,69.1986,76.03,25,0,3.33,UZ,1722884433
356,rio grande,-32.035,-52.0986,64.51,92,40,15.43,BR,1722884434
357,pakxan,18.3778,103.6601,75.04,96,100,1.74,LA,1722884436
358,zaozersk,69.4005,32.4476,46.27,94,15,6.53,RU,1722884437
359,belyy yar,53.6039,91.3903,62.49,82,0,13.42,RU,1722884438
360,sona,45.4388,10.8255,85.55,48,0,3.44,IT,1722884439
361,n'zeto,-7.2312,12.8666,69.33,82,11,7.27,AO,1722884440
362,arraias,-12.9288,-46.9437,87.06,19,0,6.49,BR,1722884441
363,cozumel,20.5083,-86.9458,87.94,80,71,6.26,MX,1722884442
364,suwayr,30.1171,40.3893,92.34,19,0,8.37,SA,1722884444
